同期機,同期発電機を並行運転するための条件として、不適切なものはどれか？,定格容量が一致していること,容量が異なっていても、電圧・周波数・位相・波形が合えば並行運転できます。,起電力の大きさが等しいこと,周波数が等しいこと,位相が等しいこと
同期機,同期発電機を電力系統（無限大母線）に接続する際、位相を合わせるために使う計器は？,同期検定灯（または同期検定器）,電圧の位相差がゼロであることを確認します。,回転計,力率計,周波数計
同期機,同期発電機の励磁機（エキサイタ）の役割は？,界磁巻線に直流電流を供給する,回転子に磁界を作るための電源です。,交流を整流する,回転速度を制御する,出力を一定にする
同期機,同期発電機の無負荷飽和曲線は何と何の関係か？,界磁電流と端子電圧,鉄心の飽和特性を示します。,電機子電流と端子電圧,回転速度と周波数,負荷角と出力
同期機,同期発電機の無負荷飽和曲線とは、何と何の何の関係を表したものか？,界磁電流と無負荷端子電圧,磁気回路の飽和特性を示す重要な曲線です。,電機子電流と端子電圧,回転速度と誘起起電力,負荷電流と効率
同期機,同期発電機の並列運転において 一致させる必要がないものは？,定格容量,電圧・周波数・位相・相回転が重要です。,端子電圧,周波数,位相
同期機,同期発電機の負荷角 δ が何度を超えると脱調の危険があるか？,90度,トルクが最大値を越えるためです。,0度,45度,180度
同期機,同期発電機の百分率同期インピーダンス %Zs を求める式は？（In:定格電流、Vn:定格相電圧）, (In * Zs / Vn) * 100,定格電圧に対する電圧降下の割合を示します。, (Vn / (In * Zs)) * 100, (In / (Zs * Vn)) * 100, (In * Vn / Zs) * 100
同期機,同期発電機の同期速度 Ns [min-1] を求める式は？,Ns = 120f / p,誘導機と同じ公式が適用されます。,Ns = 60f / p,Ns = 120p / f,Ns = f / (120p)
同期機,同期発電機の電機子反作用において、電流の位相が電圧より90度遅れている（遅れ力率）場合の効果は？,減磁作用,磁束を弱める方向に働き、端子電圧を低下させます。,増磁作用,交差磁化作用,偏磁作用
同期機,同期発電機の電機子反作用において、電流の位相が電圧より90度進んでいる（進み力率）場合の効果は？,増磁作用,磁束を強める方向に働き、端子電圧を上昇させます（自己励磁現象の原因）。,減磁作用,交差磁化作用,整流作用
同期機,同期発電機の電機子反作用において 負荷電流が遅れ力率のときの作用は？,減磁作用,磁束を打ち消す方向に働きます。,増磁作用,交差磁化作用,整流作用
