変圧器,理想的な変圧器において 損失以外にゼロと仮定されるものは？,漏れ磁束,全ての磁束が鉄心を通ると考えます。,定格電流,相互磁束,端子電圧
変圧器,変流器 (CT) の二次側を 通電中に開放してはいけない理由は？,高電圧が発生し絶縁破壊するため,磁束が極大になり危険です。,電流が流れすぎるため,ヒューズが断線するため,測定不能になるため
変圧器,変圧器油の劣化（酸化）を抑えるための上部タンクは？,コンサベータ,油面と空気の接触面積を減らします。,ラジエーター,ブッシング,ダイヤフラム
変圧器,変圧器を並列運転したとき、各変圧器の負荷分担はどのように決まるか？,容量に比例し、%インピーダンスに反比例する,%インピーダンスが小さい変圧器ほど、多くの負荷を抱えようとします。,容量に反比例する,%インピーダンスに比例する,ランダムに決まる
変圧器,変圧器の励磁電流を測定することでわかる値はどれか？,無負荷損（鉄損）,定格電圧を加えた時の入力電力が鉄損に相当します。,全負荷銅損,電圧変動率,最高温度
変圧器,変圧器の励磁電流の波形に 第3高調波が含まれる原因は？,磁気飽和現象,磁束と電流の関係が非線形なためです。,ヒステリシス損,渦電流損,皮膚効果
変圧器,変圧器の冷却方式で「ONAN（OA）」とはどのような方式か？,油入自冷式,自然に対流する油と空気で冷却する、最も基本的な方式です。,油入風冷式,送油風冷式,水冷式
変圧器,変圧器の油の絶縁破壊電圧を低下させる最大の原因は？,水分の混入,油の性能を著しく悪化させます。,油温の低下,鉄粉の混入,油の変色
変圧器,変圧器の並列運転において 負荷分担は何に反比例するか？,パーセントインピーダンス,インピーダンスが小さいほど多く分担します。,定格容量,定格電圧,巻数比
変圧器,変圧器の内部故障を保護する機械的な継電器は？,ブッフホルツリレー,ガスや油流を検知します。,過電流継電器,比率差動継電器,不足電圧継電器
変圧器,変圧器の等価回路において 励磁アドミタンスが表すものは？,鉄損と励磁電流,無負荷時の電流の流れを示します。,一次銅損,漏れリアクタンス,二次インピーダンス
変圧器,変圧器の鉄損の種類は？,ヒステリシス損と渦電流損,鉄心内で発生する定常的な損失です。,銅損と機械損,風損と摩擦損,一次銅損と二次銅損
変圧器,変圧器の鉄損（無負荷損）を測定するために行う試験は？,無負荷試験（開放試験）,二次側を開放し、一次側に定格電圧を加えて測定します。,短絡試験,負荷試験,絶縁抵抗試験
変圧器,変圧器の定格容量 [kVA] は、通常どのような条件で決められているか？,温度上昇が許容範囲を超えない限界,損失による発熱と冷却能力のバランスで決まります。,鉄心が溶ける限界,電圧が半分になる限界,絶縁が破壊される限界
変圧器,変圧器の短絡試験において、一次側に加える電圧を何というか？,インピーダンス電圧,二次側を短絡して、定格電流が流れるのに必要な電圧のことです。,定格電圧,無負荷電圧,サージ電圧
変圧器,変圧器の短絡試験で直接求められるものは？,インピーダンス電圧,定格電流を流したときの電圧降下です。,鉄損,無負荷電流,電圧変動率
変圧器,変圧器の全損失における「銅損」の性質は？,負荷電流の2乗に比例する,巻線の抵抗による損失です。,負荷電流に比例する,負荷に関わらず一定,電圧の2乗に比例する
変圧器,変圧器の全損失が最小になり、効率が最大になる条件は？,無負荷損（鉄損）＝ 負荷損（銅損）,損失のバランスが取れたときに最大効率となります。,無負荷損 ＞ 負荷損,無負荷損 ＜ 負荷損,負荷損 ＝ 0
変圧器,変圧器の絶縁油に求められる特性として、誤っているものはどれか？,引火点ができるだけ低いこと,火災防止のため、引火点は高い（130℃以上など）必要があります。,絶縁耐力が大きいこと,粘度が低い（冷却効率のため）こと,酸化しにくいこと
変圧器,変圧器の磁歪（じわい）現象が主な原因となって発生するものは？,騒音（うなり）,鉄心が磁化される際にわずかに伸縮することで音が鳴ります。,熱,放電,振動（回転）
変圧器,変圧器の最大効率が得られる負荷条件は？,無負荷損 = 負荷損,鉄損と銅損が等しくなるときです。,最大負荷のとき,無負荷のとき,二次電流が最大のとき
変圧器,変圧器の効率を計算する際 用いられるのはどれか？,規約効率,出力と損失から算出します。,実効率,瞬間効率,最大効率
変圧器,変圧器の結線において 位相差が 30 度生じる組み合わせは？,Y-Δ結線,スターとデルタの組み合わせで生じます。,Y-Y結線,Δ-Δ結線,V-V結線
変圧器,変圧器の結線で「ΔーY結線」を用いた場合、一次側と二次側の位相差は何度になるか？,30 度,結線方式によって位相がずれます（角変位）。,0 度,90 度,180 度
変圧器,変圧器の巻線に使用される「平角銅線」のメリットは？,占積率を高め、小型化できる,丸線に比べて隙間なく巻けるため、効率が良くなります。,抵抗が無限大,価格が安い,重い
変圧器,変圧器の巻線における「層間絶縁」とはどこの絶縁か？,同じ巻線内の隣り合う電線間,ターン間の電圧差に耐えるための薄い絶縁層です。,一次と二次の間,鉄心と巻線の間,ブッシングの表面
変圧器,変圧器のブッフホルツ継電器が設置される場所は？,本体タンクとコンサベータの間,内部故障で発生したガスや油流を検知して警報・遮断を行います。,電源端子,変圧器の底,冷却フィン
変圧器,変圧器のパーセントインピーダンスは何に比例するか？,定格容量,基準容量を変えると値も変わります。,鉄心の断面積,巻線の長さ,周囲温度
