誘導機,誘導電動機を定格より高い周波数で運転した場合、磁束密度はどうなるか？,減少する,Φ ∝ V / f なので、周波数が上がると磁束は弱まります。,増加する,変化しない,ゼロになる
誘導機,誘導電動機を逆相制動（プラグ）した際、滑り s の値はどう変化するか？,1 から 2 の間になる,逆回転方向に力が働くため、s = (Ns - (-N)) / Ns となります。,0 から 1 の間,0 以下,1 固定
誘導機,誘導電動機の銘板に記載されている「定格速度」とは、どのような状態の速度か？,定格負荷時の回転速度,無負荷時の同期速度よりも「滑り」の分だけ遅い数値です。,同期速度,始動直後の速度,最高回転速度
誘導機,誘導電動機の無負荷試験で得られる電流（無負荷電流）の主な成分は？,励磁電流,磁界を作るための電流が大部分を占めます。,負荷電流,短絡電流,過大電流
誘導機,誘導電動機の無負荷試験で主に求められる損失は？,鉄損,負荷がないため銅損は無視できます。,二次銅損,直接負荷損,漂遊負荷損
誘導機,誘導電動機の二重かご形回転子において、上部（外側）の導体はどのような特性を持つか？,高抵抗・低リアクタンス,始動時の電流をこちらに流して始動トルクを高めます。,低抵抗・高リアクタンス,高抵抗・高リアクタンス,低抵抗・低リアクタンス
誘導機,誘導電動機の二次銅損 Pcu2 を表す式は？ (P2:二次入力),s P2,滑り s 倍の電力が損失となります。,(1-s) P2,P2 / s,s^2 P2
誘導機,誘導電動機の等価回路において 負荷を表す抵抗成分は？,r2' (1-s) / s,機械出力を電気的に模擬したものです。,r2' / s,r1 + r2',s r2'
誘導機,誘導電動機の等価回路で、励磁アドミタンスが接続されている場所は？,一次巻線と二次巻線の間,磁化特性を表すため、回路の中間に並列に挿入されます。,電源の直列部,二次抵抗の直列部,出力端子
誘導機,誘導電動機の鉄損は、主にどの部分で発生するか？,固定子鉄心,回転子の周波数は滑りにより低いため、主に固定子側で生じます。,回転子巻線,ブラシ,ベアリング
誘導機,誘導電動機の絶縁クラス「F種」の許容最高温度は？,155 ℃,絶縁材料の耐熱性能を示す規格です。,105 ℃,120 ℃,180 ℃
誘導機,誘導電動機の出力 Pm を表す式は？ (P2:二次入力),(1 - s) P2,入力から銅損を除いた機械出力です。,s P2,P2 / (1-s),P2
誘導機,誘導電動機の最大効率が得られる条件は？,無負荷損 = 負荷損,鉄損と銅損がバランスするときです。,滑り s が最小のとき,トルクが最大のとき,端子電圧が最大のとき
誘導機,誘導電動機の拘束試験において、測定された電力から求められる損失はどれか？,銅損,回転が止まっているため鉄損や機械損は無視でき、巻線抵抗損が主となります。,鉄損,無負荷損,機械損
誘導機,誘導電動機の拘束試験で求められるものは？,インピーダンス,変圧器の短絡試験に相当します。,無負荷電流,同期速度,機械損
