理論,理想的な変圧器で巻数比 a = N1 / N2 のとき 電流比 I1 / I2 は？,1 / a,電流は巻数比の逆数になります。,a,a^2,1 / a^2
理論,理想的なオペアンプ（演算増幅器）の入力インピーダンスと出力インピーダンスの組合せは？,入力：無限大 / 出力：ゼロ,信号を減衰させず、次段へ効率よく伝えるための条件です。,入力：ゼロ / 出力：無限大,入力：1kΩ / 出力：1kΩ,入力：10MΩ / 出力：10MΩ
理論,誘電体内の電束密度 D と電界 E の関係式は？（ε:誘電率）,D = εE,電束密度は誘電率と電界の積です。,E = εD,D = E / ε,D = ε / E
理論,無限長直線導体に電流 I [A] を流したとき、距離 r [m] の点における磁界の強さ H [A/m] は？,H = I / (2πr),アンペールの右ねじの法則に基づき、距離に反比例します。,H = I / (πr^2),H = 2πrI,H = μI / (2r)
理論,変位電流が発生する主な場所はどこか？,コンデンサの極板間,電界の変化が磁界を生む、マクスウェル方程式の重要な要素です。,コイルの内部,抵抗器の内部,電池の内部
理論,平行板コンデンサの極板間に比誘電率 εr (>1) の誘電体を挿入したとき、静電容量 C はどうなるか？,増加する,C = εr * C0 となり、比誘電率の分だけ容量が増えます。,減少する,変化しない,半分になる
理論,物質の磁化のしやすさを表す、磁束密度 B と磁界 H の比（B/H）を何というか？,透磁率,真空に対する比を比透磁率と呼びます。,誘電率,導電率,磁化率
理論,複素数 A = a + jb の絶対値 |A| を求める式は？,√(a^2 + b^2),ベクトルとしての長さを表します。,a^2 + b^2,a + b,√(a + b)
理論,複雑な回路を一つの電圧源 V0 と一つの直列抵抗 R0 に置き換える定理は？,テブナンの定理,回路計算を簡略化する重要な定理です。,ノートンの定理,重ね合わせの理,ミルマンの定理
理論,非定常状態（過渡状態）から定常状態に移るまでの時間を決める指標は？,時定数,時定数が大きいほど、変化はゆっくり進みます。,周波数,位相差,減衰係数
理論,比誘電率が 4 の絶縁体を用いたコンデンサの容量は 真空の場合の何倍か？,4倍,誘電率に比例して容量が増えます。,2倍,16倍,1/4倍
理論,半導体（シリコンなど）の抵抗値は 温度が上がると一般にどうなるか？,減少する,負の温度係数を持ちます。,増加する,不変である,金属と同じ挙動を示す
理論,導線の抵抗 R が 10Ω のとき、長さを2倍、直径を2倍にすると抵抗は何Ωになるか？,5,R = ρl/S で、断面積 S は直径の2乗（4倍）になるため、10 * 2 / 4 = 5 です。,10,20,2.5
理論,等電位面と電気力線が交わる角度は常に何度か？,90度,電気力線は等電位面に対して常に垂直に交わります。,0度,45度,180度
理論,電力 P [W]、電圧 V [V]、力率 cosθ の三相交流回路における線電流 I [A] は？,I = P / (√3 V cosθ),三相電力の基本公式 P = √3 VI cosθ の変形です。,I = P / (V cosθ),I = P / (3 V cosθ),I = √3 P / (V cosθ)
理論,電気力線の性質として、誤っているものはどれか？,電気力線同士は交差する,電気力線は交差したり、分岐したりすることはありません。,正電荷から出て負電荷に入る,電位の高い方から低い方へ向かう,密度は電界の強さに比例する
理論,電界の強さ E [V/m] と電位 V [V] の関係（距離 d）は？,V = Ed,一様な電界において成立します。,V = E/d,V = d/E,V = E d^2
理論,電位の勾配（傾き）に負の符号をつけたものは何を表すか？,電界,電界は電位が高い方から低い方へ向かうベクトルです。,磁界,電流密度,電荷密度
理論,抵抗の温度係数が正の材料において 温度が上がると抵抗値はどうなるか？,増加する,金属などは一般に正の温度係数を持ちます。,減少する,一定である,零になる
理論,相互誘導によって生じる起電力の向きは、磁束の変化を妨げる向きであるとする法則は？,レンツの法則,エネルギー保存の法則に従った起電力の方向の決まりです。,ファラデーの法則,アンペールの法則,オームの法則
理論,正弦波交流において、実効値に対する平均値の比（波形率）はいくらか？,π / (2√2),約1.11となります。実効値/平均値で計算されます。,2 / π,1 / √2,√2 / 2
理論,正弦波交流において 実効値は最大値の何倍か？,1/√2,約0.707倍となります。,1/2,√2,2/π
理論,真空の透磁率 μ0 の値として最も近いものは？,4π × 10^-7,磁気計算における基本定数です。,8.854 × 10^-12,6.626 × 10^-34,1.602 × 10^-19
理論,磁束密度 B 中を速度 v で動く電荷 q が受ける力（ローレンツ力）の大きさは？,qvB,F = q(v × B) です。,q/(vB),vB/q,q v^2 B
理論,磁気回路における磁気抵抗 Rm を表す式として正しいものは？（l:長さ、μ:透磁率、S:断面積）,Rm = l / (μS),電気抵抗 R = ρl/S と同様、長さに比例し断面積に反比例します。,Rm = μS / l,Rm = μl / S,Rm = S / (μl)
理論,磁気回路における「磁気抵抗」の単位は？,A/Wb,磁束の通りにくさを表します。,Wb/A,H/m,T
理論,磁界中の電子が受けるローレンツ力の方向は、磁界の方向に対してどのような関係か？,常に垂直,F = q(v × B) より、速度および磁界の双方に垂直です。,常に平行,45度の角度,常に逆方向
理論,磁界中で電流が受ける力の方向を決める法則は？,フレミングの左手の法則,「電・磁・力」の関係です。,フレミングの右手の法則,右ねじの法則,レンツの法則
理論,三相交流のデルタ結線において 線間電流は相電流の何倍か？,√3倍,電圧は等しく、電流が√3倍になります。,1倍,1/√3倍,3倍
理論,三相交流のデルタ（Δ）結線において、線電流は相電流の何倍か？,√3 倍,線電流の位相は相電流より30度遅れます。,1 倍,1/√3 倍,3 倍
理論,最大値 Vm の正弦波交流を半波整流したときの平均値は？,Vm / π,全波整流（2Vm/π）の半分になります。,2Vm / π,Vm / (2π),Vm / √2
理論,交流回路の力率 cos θ を定義する式として正しいものは？ (P:有効電力 S:皮革電力),P / S,全電力のうち有効に消費された割合です。,S / P,P / √(S^2-P^2),Q / S
